"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/11/23 7:08 PM,"ClbKiambzz","1073622557436321792",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @Ryandontnut: The most enjoyable and relatable sitcoms are the Black American ones fr",,,1.0,"1667851374766243841"
6/11/23 6:18 PM,"OnlyOneVelo?","1516502463280558083",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","The most enjoyable and relatable sitcoms are the Black American ones fr",,,1.0,"1667838702297513984"
6/11/23 7:30 AM,"The Movie guy","265260246","AmeyawDebrah","27955127","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@AmeyawDebrah @NanaBempong_ You're getting it out of context. 
1. What you posted is an old American sitcom and not what Telenovela is ?
2. I said Telenovela is a broad aspect of TV that can encompass multiple genres and not necessarily sitcoms. 
3. Telenovela is not limited by style and can't be a genre",,,0.0,"1667675539337781249"
6/10/23 9:59 PM,"Sevada. Chamras","1576824764592574464","artzakh67","1576824764592574464","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@drdave1999 Ideas such as the American exceptionalism (arrogance and ignorance), superficial and purely optical welfare, focusing on sitcoms and away from books, the importance of money vs substance are some of the long-term causes for this mess..",,,0.0,"1667531901241008128"
6/10/23 7:49 PM,"Pete Birkinshaw","16592166","angehilton","14373746","en","<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>","@angehilton Lots of young people in dayglo colours have escaped from early 1990s American sitcoms and are heading that way",,,0.0,"1667499216363483136"
6/10/23 8:52 AM,"owen","993031644792606720",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","I love bad American sitcoms",,,0.0,"1667333780355584000"
6/10/23 8:42 AM,"????? Gilbert Hernandez Jr.","1458900813678534665",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @MUSICANDBUILDS: The black American
Vs the nigga

It was always put into films
And sitcoms
Many just don’t look into it
Deep enough http…",,,33.0,"1667331246790176773"
6/10/23 5:15 AM,"Jangobadass","1435994088462036998","CartoonPetrol","1515803736752459783","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","@CartoonPetrol @CCNCartoonNews @DEADLINE The Fox sitcoms like King of the Hill, Bob's Burgers, and American Dad.",,,0.0,"1667279296228982784"
6/10/23 4:24 AM,"De la France aux États-Unis: Ashkénaze-Catholique","1587628686039285760","Makleiber","180376351","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@Makleiber Deplorable: It’s an exploitation and degradation of woman.  I grow up when American sitcoms had husband and wife sleeping in separate beds. This 1st Amendment is not what are Forefathers Expected; so has written in the Federalist Papers.",,,0.0,"1667266464192270336"
6/10/23 4:05 AM,"emi koyama","16228594","emikoyama","16228594","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Covering the similar time period, 'Hi Honey, I’m Homo!: Sitcoms, Specials, and the Queering of American Culture' by Matt Baume explores how gay and lesbian presence has been represented or not represented in television sitcoms in its golden age. … https://t.co/4yeYecc8ds",,,0.0,"1667261770778697729"
6/10/23 4:02 AM,"Bryan","274282343","JimmyMoore12","29294382","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@JimmyMoore12 Best US sitcom ever also the nanny I normally don’t watch American Sitcoms because of the 24 Episodes per season but Married with children I just couldn’t wait for the next episode ????",,,0.0,"1667261006588923910"
